
[15:25:07][INFO] Main | Ncurses windows init...
[15:25:07][INFO] Main | Ncurses windows init success!
[15:25:07][INFO] Main | Game Window created!
[15:25:07][INFO] Main | Tools menu created!
[15:25:07][INFO] Main | New level load : 1
[15:25:07][INFO] Main | Level 1 : 156 items loaded
[15:25:09][INFO] Main | Level value : 7090
[15:25:09][INFO] Main | Level value : 7090
[15:25:10][INFO] Main | Level value : 7090
[15:25:10][INFO] Main | Level value : 7090
[15:25:11][INFO] Main | Stopping game...
[15:25:11][INFO] Main | Ncurses windows deleted!
[15:25:11][INFO] End of the session of the game.

