
[18:16:27][INFO] Network | Init network...
[18:16:27][INFO] Network | Port : 25565, Host : 127.0.0.1
[18:16:27][INFO] Network | Message status sent
[18:16:27][INFO] Network | Message status received
[18:16:27][INFO] Main | Ncurses windows init...
[18:16:27][INFO] Main | Ncurses windows init success!
[18:16:27][INFO] Main | Game Window created!
[18:16:27][INFO] Main | Tools menu created!
[18:16:27][INFO] Main | New level load : 1
[18:16:27][INFO] Main | Level 1 : 156 items loaded
[18:16:43][INFO] Main | Stopping game...
[18:16:43][INFO] Main | Ncurses windows deleted!
[18:16:43][INFO] End of the session of the game.

