
[00:09:09][INFO] Network | Init network...
[00:09:09][INFO] Network | Port : 25565, Host : 0.0.0.0
[00:09:09][INFO] Network | Network init done PID : 78940
[00:09:09][INFO] Network | Waiting for a request
[00:09:10][INFO] Network | Received request 0 from 127.0.0.1:50199
[00:09:10][INFO] Network | Received ping request from 127.0.0.1:50199
[00:09:10][INFO] Network | Sending response to 127.0.0.1:50199
[00:09:10][INFO] Network | Response sent
[00:09:10][INFO] Network | Waiting for a request
[00:10:40][INFO] Network | Received request 0 from 127.0.0.1:54381
[00:10:40][INFO] Network | Received ping request from 127.0.0.1:54381
[00:10:40][INFO] Network | Sending response to 127.0.0.1:54381
[00:10:40][INFO] Network | Response sent
[00:10:40][INFO] Network | Waiting for a request
[00:11:58][INFO] Network | Received request 0 from 127.0.0.1:49829
[00:11:58][INFO] Network | Received ping request from 127.0.0.1:49829
[00:11:58][INFO] Network | Sending response to 127.0.0.1:49829
[00:11:58][INFO] Network | Response sent
[00:11:58][INFO] Network | Waiting for a request
[00:13:28][INFO] Network | Received request 0 from 127.0.0.1:35542
[00:13:28][INFO] Network | Received ping request from 127.0.0.1:35542
[00:13:28][INFO] Network | Sending response to 127.0.0.1:35542
[00:13:28][INFO] Network | Response sent
[00:13:28][INFO] Network | Waiting for a request
[00:13:31][INFO] Network | Received request 0 from 127.0.0.1:60059
[00:13:31][INFO] Network | Received ping request from 127.0.0.1:60059
[00:13:31][INFO] Network | Sending response to 127.0.0.1:60059
[00:13:31][INFO] Network | Response sent
[00:13:31][INFO] Network | Waiting for a request
